bhk,price,price_fmt,locality,developer,project,area_sqft,possession,nearest_railway,nearest_hospital,nearest_market,city
1,4794000,47.9 Lac,Panvel,Jindal Builder,Jindal Air which is a 2 years old construction,,mar '27,Mansarovar Railway Station,New City Hospital,Mahalaxmi Mall,Navi Mumbai
3,26624000,2.66 Cr,Kharghar,Paradise Group,,,dec '29,Pethpada Metro Station|5 minutes,Dolphin Hospital,Prime Mall,Navi Mumbai
3,27500000,2.75 Cr,Kharghar,Paradise Group,,,dec '29,Pethpada Metro Station|5 minutes,Kharghar Medicity Hospital,More Super Market,Navi Mumbai
3,21750000,2.17 Cr,Sector 19 Kharghar,Bhagwati Group,a well-connected area of Sector 19 Kharghar,,dec '26,,,,Navi Mumbai
3,29680000,2.96 Cr,Nerul,Shree Gowardhan CoOperative Housing Society Limited,,,jun '28,,Shushrusha Heart Care Center & Multi Speciality Hospital,Bluestone Seawoods Grand Central Mall,Navi Mumbai
3,33331000,3.33 Cr,Nerul,Jalan Group,,,dec '27,,Terna Speciality Hospital & Research Centre,Jewel of Navi Mumbai,Navi Mumbai
2,19760000,1.97 Cr,Ulwe,Surekha Tukaram Dudhe,,,mar '29,Kharkopar Railway Station,Balaji Hospital,,Navi Mumbai
2,8554000,85.5 Lac,Kharghar,Dreams Developers,a well-connected area of Kharghar,,dec '31,Pethpada Metro Station|5 minutes,Aayush Hospital,More Super Market,Navi Mumbai
2,19844000,1.98 Cr,Airoli,Jewel Construction,,,dec '26,Airoli Metro Station|5 minutes,Navi Mumbai Hospital,Ripplez Mall,Navi Mumbai
4,71112000,7.11 Cr,Juinagar,Raheja Universal Pvt. Ltd.,Raheja Atlantis 1,,dec '31,,,,Navi Mumbai
2,18313000,1.83 Cr,Kharghar,Paradise Group,,,dec '29,Pethpada Metro Station|5 minutes,Medicity Hospital,Little World Mall,Navi Mumbai
3,29078000,2.90 Cr,Kharghar,Paradise Group,,,dec '29,Pethpada Metro Station|5 minutes,Trudiagno,Glomax Mall,Navi Mumbai
2,3783000,37.8 Lac,Khopoli,Unimont Realty,Khopoli is available for purchase at price of ₹37,,aug '27,Khopoli Railway Station,,Alaina City Plaza,Navi Mumbai
2,26900000,2.69 Cr,Airoli to buy or invest in Navi Mumbai city,Jewel Construction,Superior Exotica,,dec '26,Airoli Metro Station|5 minutes,Apple Hospital,Siddhivinayak Shopping Complex,Navi Mumbai
4,30568000,3.05 Cr,Panvel,Hiranandani Communities,The Arena At Hiranandani Fortune City,,dec '30,Panvel Junction,Shreyas Multi-Speciality Hospital,Little World,Navi Mumbai
2,24768000,2.47 Cr,Nerul,Escaso Ventures,,,dec '29,,Terna Speciality Hospital & Research Centre,Jewel of Navi Mumbai,Navi Mumbai
2,6097000,61 Lac,Kharghar,Today Prachar Developers LLP,,,,Pethpada Metro Station|5 minutes,Aayush Hospital,Zudio,Navi Mumbai
4,44295000,4.42 Cr,Juinagar,Raheja Universal Pvt. Ltd.,Raheja Solaris Iii,,dec '28,,,,Navi Mumbai
3,35100000,3.51 Cr,Nerul,Varsha Group,Nerul is available for purchase at price of ₹3,,dec '28,,Terna Speciality Hospital & Research Centre,Jewel of Navi Mumbai,Navi Mumbai
3,18400000,1.84 Cr,New Panvel to buy or invest in Navi Mumbai city,Delta Group,Delta Prestige,,dec '29,Khandeshwar Railway Station,,Little World,Navi Mumbai
2,7627000,76.3 Lac,Panvel,The Wadhwa Group,,,dec '26,Panvel Railway Station,Ashtavinayak Hospital,Satya Siddhi Market,Navi Mumbai
2,19000000,1.90 Cr,Juinagar,Raheja Universal Pvt. Ltd.,,,dec '29,,,,Navi Mumbai
4,76404000,7.64 Cr,Seawoods,Gami Group and NMS Group ,,,mar '31,Seawoods - Darave,Neuron and Nexus Care,More Supermarket,Navi Mumbai
2,11485000,1.14 Cr,Panvel,Hiranandani Group,,,Dec '30,Kalamboli Railway Station,New City Hospital,Acwe Mall (Best Buy),Navi Mumbai
2,14093000,1.40 Cr,Juinagar,Newfound Properties and Leasing Private Limited,,,dec '31,,,,Navi Mumbai
2,22952000,2.29 Cr,Vashi,Arihant Superstructures Ltd.,,,dec '28,Vashi Railway Station,MGM Hospital,Timezone Inorbit Mall Vashi,Navi Mumbai
2,5157000,51.6 Lac,Pushpak Nagar,Admire Infra,,,dec '28,,,,Navi Mumbai
1,6724000,67.2 Lac,Taloja,Today Group,,,mar '32,Metro Station Taloja|5 minutes,Ayesha Hospital,Glomax Mall,Navi Mumbai
2,26500000,2.65 Cr,Seawoods,L & T Realty,,,jan '27,Seawoods - Darave,Neuron and Nexus Care,BB-NAVI MUMBAI-SEAWOOD,Navi Mumbai
3,19456000,1.94 Cr,Panvel,Raj Group,,,ready to move,Kalamboli Railway Station,Prachin Healthcare Multi-speciality Hospital,Ambeka Minimarket,Navi Mumbai
3,16052000,1.60 Cr,Airoli,Proviso Group,,,dec '29,Airoli Metro Station|5 minutes,Padmavati Hospital,Ripplez Mall,Navi Mumbai
3,11516000,1.15 Cr,Panvel,Olive Builders & Developers Pvt. Ltd.,,,dec '28,Panvel Railway Station,Ashtavinayak Hospital,Little World,Navi Mumbai
2,19844000,1.98 Cr,Kharghar,Satyam Ventures Private Limited,Kharghar is available for purchase at price of ₹1,,dec '28,Pethpada Metro Station|5 minutes,Rajgobind Nursing Home,Glomax Mall,Navi Mumbai
4,67306000,6.73 Cr,Nerul,Balaji Corporation,Balaji Delta Palm Beach,,jun '31,,Shushrusha Heart Care Center & Multi Speciality Hospital,Bluestone Seawoods Grand Central Mall,Navi Mumbai
2,16173000,1.61 Cr,Panvel,Paradise Group,,,dec '29,Panvel Railway Station,Ashtavinayak Hospital,Mahalaxmi Mall,Navi Mumbai
3,42670000,4.26 Cr,Seawoods,Gami Group and NMS Group ,,,mar '31,Seawoods Darawe Railway Station,Neuron and Nexus Care,More Supermarket,Navi Mumbai
1,3597620,36 Lac,Dronagiri,Pramukh Associates,,,ready to move,,,Glomax Shopping Center,Navi Mumbai
3,16600000,1.66 Cr,Panvel,Hiranandani Communities,Hiranandani Golden Willows,,dec '31,Panvel Junction,Panacea Hospital,Acwe Mall (Best Buy),Navi Mumbai
2,12600000,1.26 Cr,Panvel,Embassy Group,Panvel,887.0,mar '27,Mansarovar Railway Station,Panacea Hospital,Satya Siddhi Market,Navi Mumbai
2,18000000,1.80 Cr,Ghansoli,Infinity Infra,Infinity Leaf Mount,,dec '29,Ghansoli Railway Station,Lakshmi Hospital,Star Market,Navi Mumbai
3,36900000,3.69 Cr,Airoli,Superior Navkar Builders,,,jan '30,Airoli Metro Station|5 minutes,Apple Hospital,Ripplez Mall,Navi Mumbai
2,4545000,45.5 Lac,Taloja,Lodha Developers Limited,,,ready to move,Metro Station Taloja|5 minutes,Ayesha Hospital,,Navi Mumbai
2,9800000,98 Lac,Panvel to buy or invest in Navi Mumbai city,Marathon Realty Pvt. Ltd.,,,dec '29,Mansarovar Railway Station,Prachin Healthcare Multi-speciality Hospital,Little World,Navi Mumbai
3,32900000,3.29 Cr,Airoli,Delta Realty,Delta Icon,1350.0,ready to move,Airoli Metro Station|5 minutes,Dhanvantari Hospital,DMart Ready,Navi Mumbai
2,9700000,97 Lac,Panvel,La Mer Developers,,663.0,Mar '27,Panvel Junction,Prachin Healthcare Multi-speciality Hospital,Acwe Mall (Best Buy),Navi Mumbai
2,8800000,88 Lac,Kharghar,Tharwani Realty,,750.0,Sep '26,Pethpada Metro Station|5 minutes,Rajgobind Nursing Home,Zudio,Navi Mumbai
3,33500000,3.35 Cr,Ghansoli,Aurum RealEstate Developers Limited,,1350.0,ready to move,Ghansoli Railway Station,Aviva Hospital,DMart,Navi Mumbai
3,24499000,2.44 Cr,Airoli,Bhagwati Group Delta Group and Pyramid Group,,1066.0,Jun '30,Airoli Metro Station|5 minutes,Mody Hospital,Siddhivinayak Shopping Complex,Navi Mumbai
1,7900000,79 Lac,Kharghar,Satyam Developers,Kharghar is available at the price of ₹79 Lac,424.0,Dec '26,Pethpada Metro Station|5 minutes,Medicity Hospital,Zudio,Navi Mumbai
2,18800000,1.88 Cr,Ghansoli,Alliaance Realty,,,Dec '29,Ghansoli Railway Station,Lakshmi Multi Speciality Hospital,DMart,Navi Mumbai
2,12300000,1.23 Cr,Sector 37 Kharghar,Gajra Developers Ltd,,795.0,Mar '28,,Sri Satya Sai Sanjeevani Hospital,,Navi Mumbai
2,16100000,1.61 Cr,Sector 12 Nerul,Kamdhenu Realities,,677.0,Dec '28,,,,Navi Mumbai
2,19000000,1.90 Cr,Juinagar West,Raheja Universal Pvt. Ltd.,Juinagar West is available for purchase at price of ₹1,725.0,Dec '30,,,,Navi Mumbai
1,4300000,43 Lac,Ulwe,JBD Group,a well-connected area of Ulwe,,ready to move,Bamandongri Railway Station,Balaji Hospital,,Navi Mumbai
2,5500190,55 Lac,total 578 sqft,Om Sai Ram Developers,,,Nov '26,,,,Navi Mumbai
2,17818000,1.78 Cr,total 729 sqft,Juhi Developers,,,Dec '28,,Credence Care Hospital,,Navi Mumbai
3,36400000,3.64 Cr,Kharghar,Godrej Properties,a well-connected area of Kharghar,1271.0,Jun '31,Pethpada Metro Station|5 minutes,Aayush Hospital,Glomax Mall,Navi Mumbai
3,25255400,2.52 Cr,Panvel,Hiranandani Communities,,1282.0,Dec '30,Kalamboli Railway Station,Shreyas Multi-Speciality Hospital,Miraj Cinema,Navi Mumbai
4,42500000,4.25 Cr,Panvel,Hiranandani Group,,2300.0,,Khandeshwar Railway Station,Shreyas Multi-Speciality Hospital,"Orion Mall,",Navi Mumbai
1,6100000,61 Lac,Roadpali,Sai Developers,,400.0,,,,,Navi Mumbai
2,5999000,60 Lac,Kharghar,Rudra Infraworld Llp,,,dec '30,Pethpada Metro Station|9 minutes,Kharghar Medicity Hospital,Glomax Mall,Navi Mumbai
3,29500000,2.95 Cr,Nerul,Moreshwar Developers,,,,,Shushrusha Heart Care Center & Multi Speciality Hospital,Bluestone Seawoods Grand Central Mall,Navi Mumbai
2,8500000,85 Lac,Dronagiri,Gami Group,,,dec '27,,,Glomax Shopping Center,Navi Mumbai
3,17188000,1.71 Cr,Kharghar,Satyam Infra Realty LLP,,,nov '29,Pethpada Metro Station|5 minutes,Om Navjeevan Hospital,Glomax Mall,Navi Mumbai
2,12000000,1.20 Cr,Kharghar,Naman Home makers Pvt. Ltd.,,720.0,ready to move,Pethpada Metro Station|10 minutes,Trudiagno,Little World Mall,Navi Mumbai
3,35000000,3.50 Cr,Ghansoli,Bhagwati Group,,1100.0,ready to move,Ghansoli Railway Station,Credence Care Hospital,Star Market,Navi Mumbai
3,15000000,1.50 Cr,Panvel,Indiabulls Greens,,1216.0,ready to move,Mansarovar Railway Station,Shreyas Multi-Speciality Hospital,Mahalaxmi Mall,Navi Mumbai
3,27500000,2.75 Cr,Sector 26 Vashi to buy or invest in Navi Mumbai city,Arihant Group,,1100.0,ready to move,,,,Navi Mumbai
2,9000000,90 Lac,Dronagiri,Akshar Group,,850.0,ready to move,,,Glomax Shopping Center,Navi Mumbai
3,25000000,2.50 Cr,Airoli,Bhagwati Group Delta Group and Pyramid Group,,1066.0,Dec '29,Airoli Metro Station|5 minutes,Mody Hospital,DMart Ready,Navi Mumbai
2,4950000,49.5 Lac,Panvel,Indiabulls Real Estate Ltd.,,544.0,ready to move,"Shree Saibaba Mandir, Nr.Panvel Railway Station.",Ashtavinayak Hospital,Acwe Mall (Best Buy),Navi Mumbai
2,4750000,47.5 Lac,Taloja,Lodha Developers Limited,Taloja is available at the price of ₹47,471.0,ready to move,Metro Station Taloja|5 minutes,Ayesha Hospital,,Navi Mumbai
1,4000000,40 Lac,Panvel,Indiabulls Greens,Panvel is available for purchase at price of ₹40 Lac,466.0,ready to move,Kalamboli Railway Station,Panacea Hospital,Orion Mall,Navi Mumbai
3,8500000,85 Lac,Vichumbe,Cooperative Group Housing Society,,,ready to move,,,,Navi Mumbai
2,15000000,1.50 Cr,Sector 20 Ulwe,Platinum Group,Sector 20 Ulwe is available for purchase at price of ₹1,790.0,Mar '27,,,,Navi Mumbai
1,7500000,75 Lac,Panvel,Godrej Properties,Panvel is available at the price of ₹75 Lac,,ready to move,Panvel Railway Station,New City Hospital,Orion Mall,Navi Mumbai
2,17500000,1.75 Cr,Kopar Khairane,Satyam Superstructures Private Limited,,750.0,May '27,Kopar Khairane Railway Station,Mahavir Hospital,DMart,Navi Mumbai
4,54500000,5.45 Cr,Nerul,L & T Realty,L And T Realty Seawoods West Manor Tower A And B,1590.0,ready to move,,Terna Speciality Hospital & Research Centre,Bluestone Seawoods Grand Central Mall,Navi Mumbai
2,5500000,55 Lac,Taloja Phase 2,Yashodeep Buildcon,,,Dec '26,,,,Navi Mumbai
3,19500912,1.95 Cr,New Panvel,Hiranandani Group,New Panvel is available for purchase at price of ₹1,,Dec '31,Khandeshwar Railway Station,,Apna Cinema,Navi Mumbai
1,2700000,27 Lac,Ulwe,Dolphin Group,,,ready to move,Kharkopar Railway Station,Balaji Hospital,,Navi Mumbai
2,8900000,89 Lac,Palaspe Phata,The Wadhwa Group,,606.0,ready to move,,New City Hospital,,Navi Mumbai
1,4200000,42 Lac,Karanjade,Today Royal Group & KD Corp,,,ready to move,,,,Navi Mumbai
3,17500000,1.75 Cr,Kamothe,Sri Triveni Pvt. Ltd.,Kamothe,,ready to move,,B&J Super Speciality Hospital,Mahalaxmi Mall,Navi Mumbai
2,14000000,1.40 Cr,Kharghar,Adhiraj Constructions Pvt. Ltd.,,,ready to move,Pethpada Metro Station|5 minutes,Dolphin Hospital,Glomax Mall,Navi Mumbai
3,17000000,1.70 Cr,Kharghar,Arihant Superstructures Ltd.,,938.0,Feb '27,Pethpada Metro Station|5 minutes,Ariella Hospital,Prime Mall,Navi Mumbai
2,8100000,81 Lac,Dronagiri,Orange Realty,,600.0,ready to move,,,Glomax Shopping Center,Navi Mumbai
3,24900000,2.49 Cr,Panvel,Hiranandani Group,,1482.0,ready to move,Kalamboli Railway Station,Shreyas Multi-Speciality Hospital,K Mall,Navi Mumbai
2,3500000,35 Lac,Panvel,Qualcon Properties LLP,,452.0,ready to move,Kalamboli Railway Station,New City Hospital,Mahalaxmi Mall,Navi Mumbai
3,62500000,6.25 Cr,Palm Beach Road,The Wadhwa Group,,944.0,ready to move,,PKC Hospital,Central One,Navi Mumbai
1,5200000,52 Lac,Panvel,The Wadhwa Group,,391.0,ready to move,Mansarovar Railway Station,Shreyas Multi-Speciality Hospital,Miraj Cinema,Navi Mumbai
2,4400004,44 Lac,New Panvel,Space India,,,ready to move,Khandeshwar Railway Station,,Little World,Navi Mumbai
1,3000000,30 Lac,Khopoli,Arihant Superstructures Ltd,,,ready to move,Khopoli Railway Station,,Alaina City Plaza,Navi Mumbai
3,42500000,4.25 Cr,CBD Belapur,Lakhani,,,ready to move,C.B.D Belapur Railway Station (East)|5 minutes,Apollo Hospitals,Kalpataru Shopping Complex,Navi Mumbai
1,5700000,57 Lac,Ulwe,Mangalmurti Developers,,,ready to move,Kharkopar Railway Station,Balaji Hospital,,Navi Mumbai
2,10500000,1.05 Cr,Ulwe,Shiv Parvati Developers,Ulwe,,ready to move,Gavhan Phata,Balaji Hospital,,Navi Mumbai
2,6990000,69.9 Lac,Shivkar,Today Global Builders & Developers,Shivkar is available at the price of ₹69,,ready to move,,,,Navi Mumbai
3,48000000,4.80 Cr,Nerul,Mistri Construction,Nerul is available for purchase at price of ₹4,1320.0,Dec '28,,Shushrusha Heart Care Center & Multi Speciality Hospital,Bluestone Seawoods Grand Central Mall,Navi Mumbai
2,3600000,36 Lac,Panvel,Prayag Builders and Developers,,,ready to move,"Shree Saibaba Mandir, Nr.Panvel Railway Station.",New City Hospital,K Mall,Navi Mumbai
3,24000000,2.40 Cr,Sector 19 Kharghar,Bhagwati Group,,,ready to move,,,,Navi Mumbai
1,6500000,65 Lac,Panvel,Marathon Realty Pvt. Ltd.,Panvel is available at the price of ₹65 Lac,,ready to move,Panvel Railway Station,Ashtavinayak Hospital,Mahalaxmi Mall,Navi Mumbai
3,100000000,10 Cr,Seawoods,Cidco,,,ready to move,Seawoods - Darave,Neuron and Nexus Care,BB-NAVI MUMBAI-SEAWOOD,Navi Mumbai
1,7200000,72 Lac,Panvel,Hiranandani Group,,,ready to move,Panvel Junction,New City Hospital,Satya Siddhi Market,Navi Mumbai
1,5100000,51 Lac,Panvel,Hiranandani Group,,520.0,ready to move,Panvel Junction,Ashtavinayak Hospital,Ambeka Minimarket,Navi Mumbai
2,11000000,1.10 Cr,Kopar Khairane,Eveready Builders,,700.0,ready to move,Koparkhairane Railway Station,Tasneem Hospital,Balaji Movieplex,Navi Mumbai
2,15000000,1.50 Cr,Kharghar,Arihant Superstructures Ltd.,,,ready to move,Pethpada Metro Station|5 minutes,Dolphin Hospital,More Super Market,Navi Mumbai
1,4700000,47 Lac,Kharghar,Cooperative Group Housing Society,,,ready to move,Pethpada Metro Station|5 minutes,Aayush Hospital,Little World Mall,Navi Mumbai
2,17000000,1.70 Cr,Kharghar,Shree Balaji Developers,,,ready to move,Pethpada Metro Station|5 minutes,Kharghar Medicity Hospital,Prime Mall,Navi Mumbai
2,17500000,1.75 Cr,Kharghar,PARADISE GROUP BUILDERS & DEVELOPERS,Kharghar,,ready to move,Pethpada Metro Station|5 minutes,Nimisha Superspeciality Hospital,Little World Mall,Navi Mumbai
1,5600000,56 Lac,Panvel,The Wadhwa Group,a well-connected area of Panvel,,ready to move,Mansarovar Railway Station,Panacea Hospital,"Orion Mall,",Navi Mumbai
3,35000000,3.50 Cr,Sanpada,Gajra Developers Ltd,,,ready to move,Sanpada Railway Station,MPCT Hospital,Best Event Organiser In Navi Mumbai : Ask The Event Associates,Navi Mumbai
3,12500000,1.25 Cr,Marathon Nexzone,Marathon Realty Pvt. Ltd.,,950.0,ready to move,,,,Navi Mumbai
3,39100000,3.91 Cr,Nerul,The Wadhwa Group,,980.0,ready to move,,Shushrusha Heart Care Center & Multi Speciality Hospital,Jewel of Navi Mumbai,Navi Mumbai
3,13500000,1.35 Cr,Panvel,Godrej Properties,,,ready to move,"Shree Saibaba Mandir, Nr.Panvel Railway Station.",Prachin Healthcare Multi-speciality Hospital,Satya Siddhi Market,Navi Mumbai
1,6300000,63 Lac,Ulwe,Lakhani Builders Pvt. Ltd.,,342.0,ready to move,Gavhan Phata,Balaji Hospital,,Navi Mumbai
2,23127500,2.31 Cr,Nerul,Escaso Ventures,Escaso Platinum Sicily,,Dec '28,,Terna Speciality Hospital & Research Centre,Jewel of Navi Mumbai,Navi Mumbai
2,12000000,1.20 Cr,Ulwe,Pratik Construction,Pratik Residency which is a 9 years old construction,,ready to move,Gavhan Phata,Balaji Hospital,,Navi Mumbai
3,37500000,3.75 Cr,Sector 19 Vashi,Nest Builders,Goodwill Wisteria which is a 3 years old construction,,Dec '27,,Mayuresh Hospital,,Navi Mumbai
2,9000000,90 Lac,Shedung,The Wadhwa Group,,534.0,ready to move,,,,Navi Mumbai
2,19500000,1.95 Cr,Digha,Akshar Group,,760.0,ready to move,,Sai Multispeciality Hospital,,Navi Mumbai
1,4100000,41 Lac,Dronagiri,Akshar Group,,,ready to move,,,Glomax Shopping Center,Navi Mumbai
5,77500000,7.75 Cr,Palm Beach Road,B G Shirke Group of Companies,,1900.0,ready to move,,PKC Hospital,Vijaylaxmi Super Market,Navi Mumbai
2,20517500,2.05 Cr,Belpada,Godrej Properties,Belpada is available for purchase at price of ₹2,,Dec '30,,,,Navi Mumbai
2,10500000,1.05 Cr,Karanjade,Elegant Enterprises,,,ready to move,,,,Navi Mumbai
2,11200000,1.12 Cr,Panvel,Kalpataru Ltd.,Kalpataru Park Riviera,,,Mansarovar Railway Station,Ashtavinayak Hospital,Ambeka Minimarket,Navi Mumbai
3,18500000,1.85 Cr,Roadpali,Platinum Group Builders,a well-connected area of Roadpali,1225.0,ready to move,,,,Navi Mumbai
2,19035000,1.90 Cr,Juinagar,Raheja Universal Pvt. Ltd.,a well-connected area of Juinagar,725.0,Dec '30,,,,Navi Mumbai
2,4800000,48 Lac,Devad,Space India,,534.0,ready to move,,,,Navi Mumbai
3,14500000,1.45 Cr,Sector 17 Ulwe,Proviso Group,,1150.0,ready to move,,,,Navi Mumbai
2,16600000,1.66 Cr,Kharghar,Ashoka Builders,,,ready to move,Pethpada Metro Station|5 minutes,Nimisha Superspeciality Hospital,Prime Mall,Navi Mumbai
2,13200000,1.32 Cr,Ulwe,Shree Chamunda Realtors,Ulwe is available at the price of ₹1,791.0,ready to move,Kharkopar Railway Station,Balaji Hospital,,Navi Mumbai
2,23500000,2.35 Cr,Ulwe,Bhagwati Group,,,ready to move,Bamandongri Railway Station,Balaji Hospital,,Navi Mumbai
1,4200000,42 Lac,Ghot,Arihant Superstructures Ltd.,,487.0,ready to move,,,,Navi Mumbai
3,16700000,1.67 Cr,Panvel,Indiabulls Greens,,,ready to move,Panvel Railway Station,Panacea Hospital,Orion Mall,Navi Mumbai
2,14000000,1.40 Cr,New Panvel,Hiranandani Group,New Panvel is available for purchase at price of ₹1,908.0,ready to move,Khandeshwar Railway Station,,Apna Cinema,Navi Mumbai
3,42000000,4.20 Cr,Nerul East,Moreshwar Developers,Nerul East,1320.0,ready to move,,,,Navi Mumbai
2,18500000,1.85 Cr,Kharghar,Asian Buildcon,,,ready to move,Pethpada Metro Station|5 minutes,Ariella Hospital,Glomax Mall,Navi Mumbai
3,27000000,2.70 Cr,Palaspe Phata,Paradise Group,,1300.0,ready to move,,New City Hospital,,Navi Mumbai
2,5000000,50 Lac,Ghot,Arihant Superstructures Ltd.,a well-connected area of Ghot,685.0,ready to move,,,,Navi Mumbai
1,6200000,62 Lac,total 725 sqft,Srishti Developers,Srishti Paradise which is a 14 years old construction,,ready to move,Gavhan Phata,Balaji Hospital,,Navi Mumbai
2,30000000,3 Cr,Kharghar,Balaji Group,,,ready to move,Pethpada Metro Station|5 minutes,Aayush Hospital,More Super Market,Navi Mumbai
1,5400000,54 Lac,Panvel,The Wadhwa Group,,400.0,ready to move,"Shree Saibaba Mandir, Nr.Panvel Railway Station.",Shreyas Multi-Speciality Hospital,Mahalaxmi Mall,Navi Mumbai
1,3600000,36 Lac,Panvel,Disha Bright Space Pvt. Ltd.,,,ready to move,Panvel Junction,New City Hospital,Satya Siddhi Market,Navi Mumbai
2,7600000,76 Lac,New Panvel,Indiabulls Greens,,,ready to move,Khandeshwar Railway Station,,Little World,Navi Mumbai
2,9800000,98 Lac,630 sqft,Aristo Developers,a well-connected area of Sector 18-Khargar,,ready to move,,Trudiagno,,Navi Mumbai
3,20000000,2 Cr,Kharghar,Galaxy Group,,,ready to move,Pethpada Metro Station|5 minutes,Rajgobind Nursing Home,Glomax Mall,Navi Mumbai
2,16000000,1.60 Cr,total 1025 sqft,Asian Buildcon,Mita Heights,,ready to move,,Rajgobind Nursing Home,,Navi Mumbai
2,15500000,1.55 Cr,Sector 19 Kharghar,Punit Reality,,,Jul '27,,,,Navi Mumbai
2,22700000,2.27 Cr,Nerul,TPV Vishwakarma Group,,,dec '28,,Terna Speciality Hospital & Research Centre,Jewel of Navi Mumbai,Navi Mumbai
2,4500000,45 Lac,New Panvel,Space India,,,ready to move,Khandeshwar Railway Station,,Apna Cinema,Navi Mumbai
2,11000000,1.10 Cr,Ulwe,Reliable Builders,Ulwe,,ready to move,Bamandongri Railway Station,Balaji Hospital,,Navi Mumbai
2,12100000,1.21 Cr,Ulwe,Pratik Construction,,,ready to move,Kharkopar Railway Station,Balaji Hospital,,Navi Mumbai
3,26500000,2.65 Cr,Sector 18 Ulwe,Cooperative Group Housing Society,,,ready to move,,,,Navi Mumbai
1,6123000,61.2 Lac,Khar Kopar,Serene Lifespaces,,,ready to move,,,,Navi Mumbai
2,18000000,1.80 Cr,Juinagar,Raheja Universal Pvt. Ltd.,,,Dec '29,,,,Navi Mumbai
1,4150000,41.5 Lac,Taloja,Qualitas Naman Group,Qn Greens which is a 9 years old construction,,ready to move,Metro Station Taloja|5 minutes,Ayesha Hospital,,Navi Mumbai
2,15544500,1.55 Cr,Sector 11 Kharghar,Infinity Infra,a well-connected area of Sector 11 Kharghar,810.0,Dec '26,,,,Navi Mumbai
3,18000000,1.80 Cr,Ulwe,National Builders,Ulwe is available for purchase at price of ₹1,,ready to move,Kharkopar Railway Station,Balaji Hospital,,Navi Mumbai
3,17500000,1.75 Cr,Sector 19 Ulwe,Neelsidhi Group,Neelsidhi Vista,1100.0,ready to move,,,,Navi Mumbai
1,3500000,35 Lac,Sector 8 Ulwe,Platinum Construction,,237.0,ready to move,,,,Navi Mumbai
2,7500000,75 Lac,Panvel,Marathon Realty Pvt. Ltd.,,,ready to move,Panvel Railway Station,Shreyas Multi-Speciality Hospital,Miraj Cinema,Navi Mumbai
2,12000000,1.20 Cr,Kopar Khairane,Marvel Developer,,600.0,ready to move,Kopar Khairane Railway Station,Apex Multispeciality Hospital,Balaji Movieplex,Navi Mumbai
2,23000000,2.30 Cr,Juhu Nagar,EV Group,,,ready to move,,,,Navi Mumbai
2,4400000,44 Lac,New Panvel,Space India,Pushpanarayan Complex,550.0,ready to move,Khandeshwar Railway Station,,Little World,Navi Mumbai
1,9000000,90 Lac,Vashi,Baba Homes Builders And Developers,,,ready to move,Vashi Railway Station,Mayuresh Hospital,Inorbit Mall,Navi Mumbai
3,20000000,2 Cr,Panvel,Paradise Group,Panvel is available at the price of ₹2 Cr,862.0,ready to move,Mansarovar Railway Station,Ashtavinayak Hospital,Orion Mall,Navi Mumbai
3,42500000,4.25 Cr,Nerul,L&T Realty,L&t Seawoods Residences which is a 7 years old construction,,ready to move,,Terna Speciality Hospital & Research Centre,Jewel of Navi Mumbai,Navi Mumbai
3,10000000,1 Cr,Roadpali,GIRIRAJ DEVELOPERS,,1134.0,ready to move,,,,Navi Mumbai
1,6100000,61 Lac,Kamothe,Platinum Group,Kamothe is available for purchase at price of ₹61 Lac,475.0,ready to move,,B&J Super Speciality Hospital,Mahalaxmi Mall,Navi Mumbai
1,7200000,72 Lac,Kamothe,Platinum Group,Kamothe is available for purchase at price of ₹72 Lac,486.0,ready to move,,B&J Super Speciality Hospital,Mahalaxmi Mall,Navi Mumbai
2,14000000,1.40 Cr,Sector 10 Kharghar,Kesar Group,,875.0,ready to move,,,,Navi Mumbai
2,19000000,1.90 Cr,Airoli,Gazara Group,Bhoomi Colossa,889.0,ready to move,Airoli Metro Station|5 minutes,Rajmata Jijau Hospital,Ripplez Mall,Navi Mumbai
3,21000000,2.10 Cr,Panvel,Hiranandani Group,,1397.0,ready to move,"Shree Saibaba Mandir, Nr.Panvel Railway Station.",New City Hospital,Little World,Navi Mumbai
3,12500000,1.25 Cr,Kopar Khairane,Cooperative Group Housing Society,Ganga Sagar Chs,720.0,ready to move,Kopar Khairane Railway Station,Palm Beach Hospital,Balaji Movieplex,Navi Mumbai
2,14500000,1.45 Cr,Vashi,Cooperative Group Housing Society,,,ready to move,Vashi Railway Station,Dr Ruchi Dentique,Palm Beach Galleria Mall,Navi Mumbai
1,6800000,68 Lac,Nerul,Cooperative Group Housing Society,,288.0,ready to move,,Shushrusha Heart Care Center & Multi Speciality Hospital,Jewel of Navi Mumbai,Navi Mumbai
1,2200000,22 Lac,Taloja,Qualitas Naman Group,,,ready to move,Metro Station Taloja|5 minutes,Ayesha Hospital,,Navi Mumbai
1,11500000,1.15 Cr,Ghansoli,Aurum Platz IT Pvt Ltd,,,,Ghansoli Railway Station,Credence Care Hospital,Star Market,Navi Mumbai
2,9600000,96 Lac,706 sqft,JHV Construction Company Pvt. Ltd.,,,ready to move,Kharkopar Railway Station,Balaji Hospital,,Navi Mumbai
1,2600000,26 Lac,New Panvel,GrowHomes,,454.0,ready to move,Khandeshwar Railway Station,,Apna Cinema,Navi Mumbai
